> account_info
cid id isMoneyMule
1  I47        TRUE
2  I40       FALSE
3  I89       FALSE
4  I24       FALSE
5  I63       FALSE
6  I28       FALSE
7  I44       FALSE
8  I23       FALSE
9  I41          NA
10 I93       FALSE
11 I52       FALSE
12 I25       FALSE
13 I69       FALSE
14 I15       FALSE
15 I21       FALSE
16 I77       FALSE
17 I76       FALSE
18 I17       FALSE
19 I81       FALSE
20 I37       FALSE
21 I11       FALSE
22 I87        TRUE
23 I61       FALSE
24 I54       FALSE
25 I80       FALSE
26 I20        TRUE
27 I64       FALSE
28 I46       FALSE
29 I19       FALSE
30 I55       FALSE
31 I14       FALSE
32 I30       FALSE
33 I29       FALSE
34 I35       FALSE
35 I27       FALSE
36 I60       FALSE
37 I22       FALSE
38 I66       FALSE
