index id isMoneyMule type
1  I47        TRUE    3
2  I40       FALSE    3
3  I89       FALSE    1
4  I24       FALSE    2
5  I63       FALSE    2
6  I28       FALSE    1
7  I44       FALSE    1
8  I23       FALSE    1
9  I41        TRUE    3
10 I93       FALSE    2
11 I52       FALSE    2
12 I25       FALSE    1
13 I69       FALSE    2
14 I15       FALSE    1
15 I21       FALSE    2
16 I77       FALSE    1
17 I76       FALSE    2
18 I17       FALSE    1
19 I81       FALSE    1
20 I37       FALSE    3
21 I11       FALSE    3
22 I87        TRUE    3
23 I61       FALSE    1
24 I54       FALSE    1
25 I80       FALSE    1
26 I20        TRUE    3
27 I64       FALSE    2
28 I46       FALSE    2
29 I19       FALSE    2
30 I55       FALSE    1
31 I14       FALSE    1
32 I30       FALSE    2
33 I29       FALSE    2
34 I35       FALSE    2
35 I27       FALSE    2
36 I60       FALSE    1
37 I22       FALSE    1
38 I66       FALSE    2
