originator beneficiary     amount  time benef_country payment_channel
1         I47         I87 1463.72327 15:12           CAN         CHAN_01
2         I40         I61  143.26357 15:40           GBR         CHAN_01
3         I89         I61   53.32169 11:44           GBR         CHAN_05
4         I24         I52  226.27792 14:55           GBR         CHAN_03
5         I40         I87 1151.49827 21:20           CAN         CHAN_03
6         I63         I54  110.43880 20:21           GBR         CHAN_03
7         I40         I80   95.41262 10:31           GBR         CHAN_03
8         I28         I21  189.72981 13:28           CAN         CHAN_05
9         I40         I37  232.60189 17:38           USA         CHAN_01
10        I44         I41 1606.75886 18:23           CAN         CHAN_04
11        I23         I77  218.39777 18:23           USA         CHAN_02
12        I41         I20 1474.31419 10:45           GBR         CHAN_01
13        I93         I64  158.43055 17:24           GBR         CHAN_01
14        I28         I46  210.53209 15:26           GBR         CHAN_02
15        I23         I19  195.26791 21:20           GBR         CHAN_01
16        I28         I87 1806.02781 18:51           GBR         CHAN_01
17        I40         I17   41.83547 15:40           CAN         CHAN_03
18        I28         I55   79.82318 23:46           USA         CHAN_03
19        I63         I14  172.38452 11:58           USA         CHAN_04
20        I52         I25  158.99995 23:18           USA         CHAN_05
21        I25         I63   80.66266 19:36           GBR         CHAN_02
22        I23         I93   34.86643 14:27           USA         CHAN_04
23        I28         I30  150.72288 16:39           USA         CHAN_04
24        I28         I81   82.26939 17:10           USA         CHAN_01
25        I69         I14  242.30604 17:38           CAN         CHAN_04
26        I15         I55  241.46991 20:35           CAN         CHAN_03
27        I23         I29  132.74711 23:18           GBR         CHAN_04
28        I44         I35  245.88583 15:26           USA         CHAN_03
29        I21         I46   68.29571 20:21           GBR         CHAN_05
30        I77         I76   45.59629 12:43           CAN         CHAN_04
31        I24         I93   31.99989 17:10           GBR         CHAN_05
32        I76         I29  113.17708 19:22           USA         CHAN_01
33        I44         I63  145.77538 21:48           USA         CHAN_03
34        I23         I64   52.51461 19:36           USA         CHAN_01
35        I17         I64  157.82672 17:38           CAN         CHAN_03
36        I28         I11  165.86137 13:28           CAN         CHAN_05
37        I81         I15   35.89346 10:31           USA         CHAN_05
38        I23         I20 1598.31174 12:43           USA         CHAN_03
39        I24         I41 1046.05593 22:33           GBR         CHAN_02
40        I44         I69  240.49058 15:54           GBR         CHAN_04
41        I37         I20 1489.46824 13:56           USA         CHAN_01
42        I24         I27  157.72006 13:28           USA         CHAN_03
43        I41         I87 1197.43361 13:42           USA         CHAN_03
44        I69         I63  195.60296 18:37           USA         CHAN_01
45        I23         I76   27.78095 18:51           USA         CHAN_02
46        I81         I30   20.66005 11:44           USA         CHAN_02
47        I11         I87 1678.21539 13:56           USA         CHAN_02
48        I47         I20 1060.58539 23:46           USA         CHAN_02
49        I44         I54  172.84388 12:29           GBR         CHAN_02
50        I44         I11   49.90278 12:43           USA         CHAN_01
51        I47         I41 1336.15347 15:12           GBR         CHAN_03
52        I28         I15  147.16795 15:40           GBR         CHAN_03
53        I77         I29  198.08272 15:26           GBR         CHAN_02
54        I24         I25  197.78347 22:33           USA         CHAN_03
55        I87         I20 1301.04860 16:39           GBR         CHAN_04
56        I23         I60  136.42143 14:13           GBR         CHAN_02
57        I24         I22   60.28045 12:43           GBR         CHAN_05
58        I40         I89  195.24082 18:23           GBR         CHAN_03
59        I44         I14  110.99167 17:38           USA         CHAN_02
60        I24         I66  153.63136 17:10           CAN         CHAN_05
