id fraud_flag transfer_id  timestamp orig_account_id benef_account_id
1            0   xtr604071   9.001516       X96278924        X46460597
2            0   xtr746391   9.002616       X96278924        X24662917
3            0   xtr322246   9.005359       X96278924        X26412927
4            0   xtr625153  11.336007       X96278924        X33588577
5            0   xtr198239  15.102847       X96278924        X93192042
6            0   xtr469222  15.891354       X96278924        X26412927
7            0   xtr871858  19.992523       X96278924        X76932175
8            0   xtr341336  24.890231       X96278924        X97636029
9            0   xtr902422  31.002755       X96278924        X99932896
10           0   xtr181971  38.254583       X96278924        X93679384
11           0   xtr825017  38.255590       X96278924        X19063810
12           0   xtr778133  38.256238       X96278924        X40264579
13           0   xtr134897  38.256759       X96278924        X40264579
14           0   xtr614567  38.257257       X96278924        X64783449
15           0   xtr185440  44.248032       X51735094        X63848056
16           0   xtr404690  44.844421       X96278924        X62589651
17           0   xtr654720  48.908461       X96278924        X93192042
18           0   xtr279908  50.298113       X96278924        X76932175
19           0   xtr958204  50.301574       X96278924        X99932896
20           0   xtr966351  50.993368       X96278924        X97636029
21           0   xtr896844  50.993993       X96278924        X40264579
22           0   xtr178690  50.994468       X96278924        X40264579
23           0   xtr711728  53.421759       X96278924        X40103816
24           0   xtr690661  53.423414       X96278924        X15458175
25           0   xtr598452  53.427141       X96278924        X64783449
26           0   xtr569473  53.428750       X96278924        X20322199
27           0   xtr785706  54.115787       X51735094        X15817298
28           0   xtr668989  54.156019       X96278924        X64825894
29           0   xtr582322  57.447951       X51735094        X22723109
30           0   xtr433344  59.934109       X96278924        X99932896
31           0   xtr430588  64.149190       X96278924        X64783449
32           0   xtr395084  64.292593       X51735094        X39509284
33           0   xtr931895  64.293692       X51735094        X87633911
34           0   xtr638463  64.294109       X51735094        X93192042
35           0   xtr768425  68.187025       X96278924        X91645162
36           0   xtr158171  70.247778       X51735094        X58233569
37           0   xtr227226  70.248032       X51735094        X63848056
38           0   xtr171696  71.892338       X96278924        X99932896
39           0   xtr525693  71.895382       X96278924        X64783449
40           0   xtr876312  74.077731       X51735094        X18544316
41           0   xtr130446  74.077894       X51735094        X63848056
42           0   xtr541168  74.079028       X51735094        X13044719
43           0   xtr555544  74.079850       X51735094        X54118433
44           0   xtr785302  75.998102       X96278924        X85352318
45           0   xtr718725  76.917616       X96278924        X91645162
46           0   xtr577096  76.918449       X96278924        X93192042
47           0   xtr285365  77.413623       X64608297        X41549476
48           0   xtr992124  78.336956       X96278924        X76932175
49           0   xtr845441  78.986134       X96278924        X64783449
50           0   xtr785804  83.933576       X51735094        X55556211
51           0   xtr120677  92.896898       X96278924        X94397731
